2024-09-12 08:30:20 - INFO - Epoch [82], train_Loss_average: 2.2147, proco_loss_average: 0.5076, val_Loss_average: 1.9881, epoch_Time: 22.72s, porco_time: 9.75s
2024-09-12 08:30:42 - INFO - Epoch [83], train_Loss_average: 1.9334, proco_loss_average: 0.3907, val_Loss_average: 2.0008, epoch_Time: 21.50s, porco_time: 9.81s
2024-09-12 08:31:03 - INFO - Epoch [84], train_Loss_average: 1.8043, proco_loss_average: 0.3572, val_Loss_average: 1.8633, epoch_Time: 21.59s, porco_time: 9.86s
2024-09-12 08:31:25 - INFO - Epoch [85], train_Loss_average: 1.9273, proco_loss_average: 0.4289, val_Loss_average: 2.0740, epoch_Time: 21.44s, porco_time: 9.82s
2024-09-12 08:31:46 - INFO - Epoch [86], train_Loss_average: 1.7051, proco_loss_average: 0.3324, val_Loss_average: 1.6831, epoch_Time: 21.69s, porco_time: 9.87s
2024-09-12 08:32:08 - INFO - Epoch [87], train_Loss_average: 1.6787, proco_loss_average: 0.3396, val_Loss_average: 1.7664, epoch_Time: 21.50s, porco_time: 9.95s
2024-09-12 08:32:30 - INFO - Epoch [88], train_Loss_average: 1.6527, proco_loss_average: 0.3489, val_Loss_average: 2.1177, epoch_Time: 21.68s, porco_time: 9.88s
2024-09-12 08:32:52 - INFO - Epoch [89], train_Loss_average: 1.5661, proco_loss_average: 0.2827, val_Loss_average: 1.7368, epoch_Time: 22.01s, porco_time: 9.88s
2024-09-12 08:33:13 - INFO - Epoch [90], train_Loss_average: 1.4766, proco_loss_average: 0.2459, val_Loss_average: 1.8268, epoch_Time: 21.63s, porco_time: 9.90s
2024-09-12 08:33:34 - INFO - Epoch [91], train_Loss_average: 1.4696, proco_loss_average: 0.2742, val_Loss_average: 1.7635, epoch_Time: 21.19s, porco_time: 9.86s
2024-09-12 08:33:35 - INFO - checkpoint mask_rcnn_epoch_91.pth has saved
2024-09-12 08:33:56 - INFO - Epoch [92], train_Loss_average: 1.7715, proco_loss_average: 0.4062, val_Loss_average: 2.3194, epoch_Time: 21.10s, porco_time: 9.81s
2024-09-12 08:34:18 - INFO - Epoch [93], train_Loss_average: 1.5183, proco_loss_average: 0.2782, val_Loss_average: 1.8309, epoch_Time: 21.59s, porco_time: 9.94s
2024-09-12 08:34:40 - INFO - Epoch [94], train_Loss_average: 1.3466, proco_loss_average: 0.2145, val_Loss_average: 1.6619, epoch_Time: 21.89s, porco_time: 9.91s
2024-09-12 08:35:02 - INFO - Epoch [95], train_Loss_average: 1.4044, proco_loss_average: 0.2623, val_Loss_average: 1.6884, epoch_Time: 22.01s, porco_time: 9.90s
2024-09-12 08:35:23 - INFO - Epoch [96], train_Loss_average: 1.3837, proco_loss_average: 0.2604, val_Loss_average: 1.5681, epoch_Time: 21.65s, porco_time: 9.84s
2024-09-12 08:35:45 - INFO - Epoch [97], train_Loss_average: 1.3637, proco_loss_average: 0.2413, val_Loss_average: 1.7355, epoch_Time: 21.96s, porco_time: 9.83s
2024-09-12 08:36:07 - INFO - Epoch [98], train_Loss_average: 1.3032, proco_loss_average: 0.2184, val_Loss_average: 1.7078, epoch_Time: 21.89s, porco_time: 9.90s
2024-09-12 08:36:29 - INFO - Epoch [99], train_Loss_average: 1.2866, proco_loss_average: 0.2175, val_Loss_average: 1.7608, epoch_Time: 21.50s, porco_time: 9.88s
2024-09-12 08:36:50 - INFO - Epoch [100], train_Loss_average: 1.1993, proco_loss_average: 0.1903, val_Loss_average: 1.5899, epoch_Time: 21.38s, porco_time: 9.82s
2024-09-12 08:37:12 - INFO - Epoch [101], train_Loss_average: 1.1614, proco_loss_average: 0.1806, val_Loss_average: 1.6479, epoch_Time: 21.44s, porco_time: 9.87s
2024-09-12 08:37:12 - INFO - checkpoint mask_rcnn_epoch_101.pth has saved
